"date","f.transactions","u.users","volume","fees","transactions_mtd","users_mtd","volume_mtd","fees_mtd","cum_volume","cum_fees"
"2025-06-01",1303837,163,225492.465372,3828.834566,175846,57,19587.304872999997,195.184246,1187810.478598,18439.008141
"2025-07-01",4216942,157,330120.086517,5638.973626,977752,59,43011.334198,963.7559990000001,1517930.5651150001,24077.981766999997
"2025-08-01",5392697,170,355436.067485,5074.411634,1349354,85,80725.581902,1180.7401679999998,1873366.6326000001,29152.393400999998
"2025-09-01",5665876,687,423313.051462,5407.212228,1231046,104,90864.072052,1098.640478,2296679.6840620004,34559.605629
"2025-10-01",7832880,1086,1078418.229532,8287.34728,725398,832,128066.619224,1427.9334199999998,3375097.913594,42846.952909
"2025-11-01",8240406,331,1202131.887698,11987.353656,2521707,155,314927.610917,2244.925619,4577229.801292,54834.306565
"2025-12-01",3829076,269,757578.436293,6795.691641,919087,119,152000.699096,1553.7032390000002,5334808.237585001,61629.998206
"2026-01-01",7675262,245,9142504.311069,8371.40734,799518,103,260306.526521,1219.401397,14477312.548654001,70001.405546
"2026-02-01",1601398,286,25889005.129711,5238.848568,652393,106,1934068.893701,1340.904106,40366317.678365,75240.254114
"2026-03-01",2007506,339,112376331.229615,7351.354818,246622,137,17384203.972184002,1324.883127,152742648.90798,82591.608932
"2026-04-01",1942826,284,43986236.846028,5803.354917,363787,161,10118880.535067,1242.2635690000002,196728885.754008,88394.963849
"2026-05-01",3218644,264,26355049.664741,6191.675322,204820,106,2096524.24325,1344.533307,223083935.418749,94586.639171
"2026-06-01",647991,89,2982162.513253,623.344104,647991,89,2982162.5132529996,623.344104,226066097.932002,95209.983275
